alert_id,alert_type,location,station_id,district,latitude,longitude,forecast_horizon,risk_score,risk_tier,alert_severity,susceptibility,rainfall_trigger_index,forecast_rainfall_mm,timestamp,status,risk_mode,disclaimer
ALT-HOTSPOT-0001,HOTSPOT_CORRIDOR,Gangtok - Lumsay Corridor (NH10),STN_01_GANGTOK,Gangtok District,27.3263,88.5954,+6h,0.7468,High,HIGH,0.892,0.6287,24.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0002,HOTSPOT_CORRIDOR,Gangtok - Lumsay Corridor (NH10),STN_01_GANGTOK,Gangtok District,27.3263,88.5954,+12h,0.8493,Very High,VERY HIGH,0.892,0.8429,48.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0003,HOTSPOT_CORRIDOR,Gangtok - Lumsay Corridor (NH10),STN_01_GANGTOK,Gangtok District,27.3263,88.5954,+24h,0.9167,Very High,VERY HIGH,0.892,0.984,72.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0004,HOTSPOT_CORRIDOR,Gangtok - Lumsay Corridor (NH10),STN_01_GANGTOK,Gangtok District,27.3263,88.5954,+48h,0.83,Very High,VERY HIGH,0.892,0.8027,110.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0005,HOTSPOT_CORRIDOR,Rongli - Rolep Hotspot Corridor,STN_02_RONGLI,Pakyong District,27.185,88.692,+6h,0.7772,Very High,VERY HIGH,0.865,0.7288,28.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0006,HOTSPOT_CORRIDOR,Rongli - Rolep Hotspot Corridor,STN_02_RONGLI,Pakyong District,27.185,88.692,+12h,0.88,Very High,VERY HIGH,0.865,0.9462,55.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0007,HOTSPOT_CORRIDOR,Rongli - Rolep Hotspot Corridor,STN_02_RONGLI,Pakyong District,27.185,88.692,+24h,0.9055,Very High,VERY HIGH,0.865,1.0,85.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0008,HOTSPOT_CORRIDOR,Rongli - Rolep Hotspot Corridor,STN_02_RONGLI,Pakyong District,27.185,88.692,+48h,0.8298,Very High,VERY HIGH,0.865,0.84,130.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0009,HOTSPOT_CORRIDOR,Pakyong Airport / Pachey Slide Zone,STN_03_PAKYONG,Pakyong District,27.234,88.586,+6h,0.6537,High,HIGH,0.82,0.5252,20.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0010,HOTSPOT_CORRIDOR,Pakyong Airport / Pachey Slide Zone,STN_03_PAKYONG,Pakyong District,27.234,88.586,+12h,0.7367,High,HIGH,0.82,0.7042,40.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0011,HOTSPOT_CORRIDOR,Pakyong Airport / Pachey Slide Zone,STN_03_PAKYONG,Pakyong District,27.234,88.586,+24h,0.8208,Very High,VERY HIGH,0.82,0.8855,65.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0012,HOTSPOT_CORRIDOR,Pakyong Airport / Pachey Slide Zone,STN_03_PAKYONG,Pakyong District,27.234,88.586,+48h,0.7626,Very High,VERY HIGH,0.82,0.76,95.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0013,HOTSPOT_CORRIDOR,Mangan - Chungthang Highway,STN_04_MANGAN,Mangan (North Sikkim),27.502,88.534,+6h,0.7835,Very High,VERY HIGH,0.785,0.8557,35.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0014,HOTSPOT_CORRIDOR,Mangan - Chungthang Highway,STN_04_MANGAN,Mangan (North Sikkim),27.502,88.534,+12h,0.8495,Very High,VERY HIGH,0.785,1.0,68.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0015,HOTSPOT_CORRIDOR,Mangan - Chungthang Highway,STN_04_MANGAN,Mangan (North Sikkim),27.502,88.534,+24h,0.8495,Very High,VERY HIGH,0.785,1.0,98.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0016,HOTSPOT_CORRIDOR,Mangan - Chungthang Highway,STN_04_MANGAN,Mangan (North Sikkim),27.502,88.534,+48h,0.7813,Very High,VERY HIGH,0.785,0.8507,145.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0017,HOTSPOT_CORRIDOR,Namchi - Jorethang Corridor,STN_05_NAMCHI,Namchi (South Sikkim),27.168,88.352,+24h,0.5763,High,HIGH,0.64,0.5989,44.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0018,HOTSPOT_CORRIDOR,Namchi - Jorethang Corridor,STN_05_NAMCHI,Namchi (South Sikkim),27.168,88.352,+48h,0.5771,High,HIGH,0.64,0.6008,70.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0019,HOTSPOT_CORRIDOR,Upper Lachen Remote Sensor Node (Telemetry Offline),STN_08_OFFLINE,Mangan (North Sikkim),27.712,88.552,+6h,0.71,High,HIGH,0.71,,,2026-09-08T18:05:43Z,ACTIVE,static_baseline_only,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0020,HOTSPOT_CORRIDOR,Upper Lachen Remote Sensor Node (Telemetry Offline),STN_08_OFFLINE,Mangan (North Sikkim),27.712,88.552,+12h,0.71,High,HIGH,0.71,,,2026-09-08T18:05:43Z,ACTIVE,static_baseline_only,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0021,HOTSPOT_CORRIDOR,Upper Lachen Remote Sensor Node (Telemetry Offline),STN_08_OFFLINE,Mangan (North Sikkim),27.712,88.552,+24h,0.71,High,HIGH,0.71,,,2026-09-08T18:05:43Z,ACTIVE,static_baseline_only,SIMULATED / PROTOTYPE ALERT
ALT-HOTSPOT-0022,HOTSPOT_CORRIDOR,Upper Lachen Remote Sensor Node (Telemetry Offline),STN_08_OFFLINE,Mangan (North Sikkim),27.712,88.552,+48h,0.71,High,HIGH,0.71,,,2026-09-08T18:05:43Z,ACTIVE,static_baseline_only,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00023,REGIONAL_GRID_CELL,"Cell COARSE_C00010 (27.180N, 88.589E)",COARSE_C00010,East Sikkim,27.18,88.589,+6h,0.5641,High,HIGH,0.8806,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00024,REGIONAL_GRID_CELL,"Cell COARSE_C00016 (27.180N, 88.595E)",COARSE_C00016,East Sikkim,27.18,88.595,+6h,0.5799,High,HIGH,0.9092,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00025,REGIONAL_GRID_CELL,"Cell COARSE_C00017 (27.180N, 88.596E)",COARSE_C00017,East Sikkim,27.18,88.596,+6h,0.5793,High,HIGH,0.9082,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00026,REGIONAL_GRID_CELL,"Cell COARSE_C00018 (27.180N, 88.597E)",COARSE_C00018,East Sikkim,27.18,88.597,+6h,0.5679,High,HIGH,0.8874,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00027,REGIONAL_GRID_CELL,"Cell COARSE_C00044 (27.180N, 88.623E)",COARSE_C00044,East Sikkim,27.18,88.623,+6h,0.6024,High,HIGH,0.95,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00028,REGIONAL_GRID_CELL,"Cell COARSE_C00045 (27.180N, 88.624E)",COARSE_C00045,East Sikkim,27.18,88.624,+6h,0.6015,High,HIGH,0.9483,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00029,REGIONAL_GRID_CELL,"Cell COARSE_C00046 (27.180N, 88.625E)",COARSE_C00046,East Sikkim,27.18,88.625,+6h,0.6021,High,HIGH,0.9494,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00030,REGIONAL_GRID_CELL,"Cell COARSE_C00047 (27.180N, 88.626E)",COARSE_C00047,East Sikkim,27.18,88.626,+6h,0.6141,High,HIGH,0.9711,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00031,REGIONAL_GRID_CELL,"Cell COARSE_C00049 (27.180N, 88.628E)",COARSE_C00049,East Sikkim,27.18,88.628,+6h,0.5906,High,HIGH,0.9286,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00032,REGIONAL_GRID_CELL,"Cell COARSE_C00052 (27.180N, 88.631E)",COARSE_C00052,East Sikkim,27.18,88.631,+6h,0.5782,High,HIGH,0.9061,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00033,REGIONAL_GRID_CELL,"Cell COARSE_C00059 (27.180N, 88.638E)",COARSE_C00059,East Sikkim,27.18,88.638,+6h,0.6256,High,HIGH,0.9921,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00034,REGIONAL_GRID_CELL,"Cell COARSE_C00234 (27.181N, 88.612E)",COARSE_C00234,East Sikkim,27.181,88.612,+6h,0.5856,High,HIGH,0.9196,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00035,REGIONAL_GRID_CELL,"Cell COARSE_C00245 (27.181N, 88.623E)",COARSE_C00245,East Sikkim,27.181,88.623,+6h,0.602,High,HIGH,0.9492,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00036,REGIONAL_GRID_CELL,"Cell COARSE_C00250 (27.181N, 88.628E)",COARSE_C00250,East Sikkim,27.181,88.628,+6h,0.5863,High,HIGH,0.9208,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00037,REGIONAL_GRID_CELL,"Cell COARSE_C00253 (27.181N, 88.631E)",COARSE_C00253,East Sikkim,27.181,88.631,+6h,0.5682,High,HIGH,0.888,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00038,REGIONAL_GRID_CELL,"Cell COARSE_C00259 (27.181N, 88.637E)",COARSE_C00259,East Sikkim,27.181,88.637,+6h,0.6263,High,HIGH,0.9933,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00039,REGIONAL_GRID_CELL,"Cell COARSE_C00264 (27.181N, 88.642E)",COARSE_C00264,East Sikkim,27.181,88.642,+6h,0.625,High,HIGH,0.991,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00040,REGIONAL_GRID_CELL,"Cell COARSE_C00438 (27.182N, 88.615E)",COARSE_C00438,East Sikkim,27.182,88.615,+6h,0.6089,High,HIGH,0.9617,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00041,REGIONAL_GRID_CELL,"Cell COARSE_C00443 (27.182N, 88.620E)",COARSE_C00443,East Sikkim,27.182,88.62,+6h,0.6008,High,HIGH,0.9471,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00042,REGIONAL_GRID_CELL,"Cell COARSE_C00444 (27.182N, 88.621E)",COARSE_C00444,East Sikkim,27.182,88.621,+6h,0.5698,High,HIGH,0.8909,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00043,REGIONAL_GRID_CELL,"Cell COARSE_C00445 (27.182N, 88.622E)",COARSE_C00445,East Sikkim,27.182,88.622,+6h,0.5757,High,HIGH,0.9017,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00044,REGIONAL_GRID_CELL,"Cell COARSE_C00467 (27.182N, 88.644E)",COARSE_C00467,East Sikkim,27.182,88.644,+6h,0.5566,High,HIGH,0.867,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00045,REGIONAL_GRID_CELL,"Cell COARSE_C00604 (27.183N, 88.580E)",COARSE_C00604,East Sikkim,27.183,88.58,+6h,0.5862,High,HIGH,0.9206,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00046,REGIONAL_GRID_CELL,"Cell COARSE_C00642 (27.183N, 88.618E)",COARSE_C00642,East Sikkim,27.183,88.618,+6h,0.554,High,HIGH,0.8623,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00047,REGIONAL_GRID_CELL,"Cell COARSE_C00658 (27.183N, 88.634E)",COARSE_C00658,East Sikkim,27.183,88.634,+6h,0.6253,High,HIGH,0.9915,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00048,REGIONAL_GRID_CELL,"Cell COARSE_C00660 (27.183N, 88.636E)",COARSE_C00660,East Sikkim,27.183,88.636,+6h,0.5738,High,HIGH,0.8981,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00049,REGIONAL_GRID_CELL,"Cell COARSE_C01014 (27.185N, 88.588E)",COARSE_C01014,East Sikkim,27.185,88.588,+6h,0.5646,High,HIGH,0.8815,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00050,REGIONAL_GRID_CELL,"Cell COARSE_C01016 (27.185N, 88.590E)",COARSE_C01016,East Sikkim,27.185,88.59,+6h,0.5692,High,HIGH,0.8898,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00051,REGIONAL_GRID_CELL,"Cell COARSE_C01057 (27.185N, 88.631E)",COARSE_C01057,East Sikkim,27.185,88.631,+6h,0.6249,High,HIGH,0.9908,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00052,REGIONAL_GRID_CELL,"Cell COARSE_C01212 (27.186N, 88.585E)",COARSE_C01212,East Sikkim,27.186,88.585,+6h,0.5918,High,HIGH,0.9308,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00053,REGIONAL_GRID_CELL,"Cell COARSE_C01213 (27.186N, 88.586E)",COARSE_C01213,East Sikkim,27.186,88.586,+6h,0.5707,High,HIGH,0.8925,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00054,REGIONAL_GRID_CELL,"Cell COARSE_C01216 (27.186N, 88.589E)",COARSE_C01216,East Sikkim,27.186,88.589,+6h,0.5885,High,HIGH,0.9248,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00055,REGIONAL_GRID_CELL,"Cell COARSE_C01217 (27.186N, 88.590E)",COARSE_C01217,East Sikkim,27.186,88.59,+6h,0.5512,High,HIGH,0.8573,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00056,REGIONAL_GRID_CELL,"Cell COARSE_C01218 (27.186N, 88.591E)",COARSE_C01218,East Sikkim,27.186,88.591,+6h,0.5744,High,HIGH,0.8993,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00057,REGIONAL_GRID_CELL,"Cell COARSE_C01255 (27.186N, 88.628E)",COARSE_C01255,East Sikkim,27.186,88.628,+6h,0.6261,High,HIGH,0.9929,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00058,REGIONAL_GRID_CELL,"Cell COARSE_C01411 (27.187N, 88.583E)",COARSE_C01411,East Sikkim,27.187,88.583,+6h,0.5749,High,HIGH,0.9002,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00059,REGIONAL_GRID_CELL,"Cell COARSE_C01412 (27.187N, 88.584E)",COARSE_C01412,East Sikkim,27.187,88.584,+6h,0.5552,High,HIGH,0.8645,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00060,REGIONAL_GRID_CELL,"Cell COARSE_C01419 (27.187N, 88.591E)",COARSE_C01419,East Sikkim,27.187,88.591,+6h,0.5883,High,HIGH,0.9245,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00061,REGIONAL_GRID_CELL,"Cell COARSE_C01423 (27.187N, 88.595E)",COARSE_C01423,East Sikkim,27.187,88.595,+6h,0.5715,High,HIGH,0.894,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00062,REGIONAL_GRID_CELL,"Cell COARSE_C01428 (27.187N, 88.600E)",COARSE_C01428,East Sikkim,27.187,88.6,+6h,0.5945,High,HIGH,0.9357,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00063,REGIONAL_GRID_CELL,"Cell COARSE_C01611 (27.188N, 88.582E)",COARSE_C01611,East Sikkim,27.188,88.582,+6h,0.6165,High,HIGH,0.9755,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00064,REGIONAL_GRID_CELL,"Cell COARSE_C01623 (27.188N, 88.594E)",COARSE_C01623,East Sikkim,27.188,88.594,+6h,0.5877,High,HIGH,0.9234,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00065,REGIONAL_GRID_CELL,"Cell COARSE_C01654 (27.188N, 88.625E)",COARSE_C01654,East Sikkim,27.188,88.625,+6h,0.6251,High,HIGH,0.9912,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00066,REGIONAL_GRID_CELL,"Cell COARSE_C01820 (27.189N, 88.590E)",COARSE_C01820,East Sikkim,27.189,88.59,+6h,0.5721,High,HIGH,0.8951,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00067,REGIONAL_GRID_CELL,"Cell COARSE_C01827 (27.189N, 88.597E)",COARSE_C01827,East Sikkim,27.189,88.597,+6h,0.5769,High,HIGH,0.9038,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00068,REGIONAL_GRID_CELL,"Cell COARSE_C01828 (27.189N, 88.598E)",COARSE_C01828,East Sikkim,27.189,88.598,+6h,0.577,High,HIGH,0.904,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00069,REGIONAL_GRID_CELL,"Cell COARSE_C01840 (27.189N, 88.610E)",COARSE_C01840,East Sikkim,27.189,88.61,+6h,0.5807,High,HIGH,0.9106,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00070,REGIONAL_GRID_CELL,"Cell COARSE_C01841 (27.189N, 88.611E)",COARSE_C01841,East Sikkim,27.189,88.611,+6h,0.5669,High,HIGH,0.8856,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00071,REGIONAL_GRID_CELL,"Cell COARSE_C01844 (27.189N, 88.614E)",COARSE_C01844,East Sikkim,27.189,88.614,+6h,0.5999,High,HIGH,0.9454,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00072,REGIONAL_GRID_CELL,"Cell COARSE_C01845 (27.189N, 88.615E)",COARSE_C01845,East Sikkim,27.189,88.615,+6h,0.5932,High,HIGH,0.9333,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00073,REGIONAL_GRID_CELL,"Cell COARSE_C02015 (27.190N, 88.584E)",COARSE_C02015,East Sikkim,27.19,88.584,+6h,0.5581,High,HIGH,0.8697,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00074,REGIONAL_GRID_CELL,"Cell COARSE_C02016 (27.190N, 88.585E)",COARSE_C02016,East Sikkim,27.19,88.585,+6h,0.6209,High,HIGH,0.9835,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00075,REGIONAL_GRID_CELL,"Cell COARSE_C02021 (27.190N, 88.590E)",COARSE_C02021,East Sikkim,27.19,88.59,+6h,0.5691,High,HIGH,0.8897,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00076,REGIONAL_GRID_CELL,"Cell COARSE_C02024 (27.190N, 88.593E)",COARSE_C02024,East Sikkim,27.19,88.593,+6h,0.5842,High,HIGH,0.917,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00077,REGIONAL_GRID_CELL,"Cell COARSE_C02025 (27.190N, 88.594E)",COARSE_C02025,East Sikkim,27.19,88.594,+6h,0.615,High,HIGH,0.9728,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00078,REGIONAL_GRID_CELL,"Cell COARSE_C02027 (27.190N, 88.596E)",COARSE_C02027,East Sikkim,27.19,88.596,+6h,0.6179,High,HIGH,0.978,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00079,REGIONAL_GRID_CELL,"Cell COARSE_C02028 (27.190N, 88.597E)",COARSE_C02028,East Sikkim,27.19,88.597,+6h,0.5998,High,HIGH,0.9452,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
