cell_id,latitude,longitude,susceptibility_score,ridx_+6h,risk_+6h,tier_+6h,ridx_+12h,risk_+12h,tier_+12h,ridx_+24h,risk_+24h,tier_+24h,ridx_+48h,risk_+48h,tier_+48h
COARSE_C00001,27.18,88.58,0.6314,0.26,0.4265,Moderate,0.3278,0.4555,Moderate,0.4183,0.494,Moderate,0.3618,0.4699,Moderate
COARSE_C00002,27.18,88.581,0.6616,0.26,0.4432,Moderate,0.3278,0.4725,Moderate,0.4183,0.5116,Moderate,0.3618,0.4872,Moderate
COARSE_C00003,27.18,88.58200000000001,0.5712,0.26,0.3933,Moderate,0.3278,0.4214,Moderate,0.4183,0.4589,Moderate,0.3618,0.4355,Moderate
COARSE_C00004,27.18,88.58300000000001,0.5743,0.26,0.395,Moderate,0.3278,0.4232,Moderate,0.4183,0.4607,Moderate,0.3618,0.4372,Moderate
COARSE_C00005,27.18,88.58400000000002,0.5108,0.26,0.36,Moderate,0.3278,0.3872,Moderate,0.4183,0.4236,Moderate,0.3618,0.4009,Moderate
COARSE_C00006,27.18,88.58500000000002,0.6098,0.26,0.4146,Moderate,0.3278,0.4432,Moderate,0.4183,0.4814,Moderate,0.3618,0.4575,Moderate
COARSE_C00007,27.18,88.58600000000003,0.599,0.26,0.4087,Moderate,0.3278,0.4371,Moderate,0.4183,0.4751,Moderate,0.3618,0.4514,Moderate
COARSE_C00008,27.18,88.58700000000003,0.5796,0.26,0.3979,Moderate,0.3278,0.4262,Moderate,0.4183,0.4638,Moderate,0.3618,0.4403,Moderate
COARSE_C00009,27.18,88.58800000000004,0.5798,0.26,0.3981,Moderate,0.3278,0.4263,Moderate,0.4183,0.4639,Moderate,0.3618,0.4404,Moderate
COARSE_C00010,27.18,88.58900000000004,0.8806,0.26,0.5641,High,0.3278,0.5964,High,0.4183,0.6395,High,0.3618,0.6125,High
COARSE_C00011,27.18,88.59000000000005,0.5439,0.26,0.3782,Moderate,0.3278,0.406,Moderate,0.4183,0.4429,Moderate,0.3618,0.4198,Moderate
COARSE_C00012,27.18,88.59100000000005,0.5398,0.26,0.376,Moderate,0.3278,0.4036,Moderate,0.4183,0.4405,Moderate,0.3618,0.4175,Moderate
COARSE_C00013,27.18,88.59200000000006,0.599,0.26,0.4087,Moderate,0.3278,0.4371,Moderate,0.4183,0.4751,Moderate,0.3618,0.4514,Moderate
COARSE_C00014,27.18,88.59300000000006,0.4565,0.26,0.33,Low,0.3278,0.3565,Moderate,0.4183,0.3919,Moderate,0.3618,0.3698,Moderate
COARSE_C00015,27.18,88.59400000000007,0.4451,0.26,0.3237,Low,0.3278,0.3501,Moderate,0.4183,0.3853,Moderate,0.3618,0.3633,Moderate
COARSE_C00016,27.18,88.59500000000007,0.9092,0.26,0.5799,High,0.3278,0.6126,High,0.4183,0.6561,High,0.3618,0.6289,High
COARSE_C00017,27.18,88.59600000000007,0.9082,0.26,0.5793,High,0.3278,0.612,High,0.4183,0.6556,High,0.3618,0.6283,High
COARSE_C00018,27.18,88.59700000000008,0.8874,0.26,0.5679,High,0.3278,0.6002,High,0.4183,0.6434,High,0.3618,0.6164,High
COARSE_C00019,27.18,88.59800000000008,0.5734,0.26,0.3945,Moderate,0.3278,0.4227,Moderate,0.4183,0.4602,Moderate,0.3618,0.4367,Moderate
COARSE_C00020,27.18,88.59900000000009,0.5583,0.26,0.3862,Moderate,0.3278,0.4141,Moderate,0.4183,0.4513,Moderate,0.3618,0.4281,Moderate
COARSE_C00021,27.18,88.6000000000001,0.6146,0.26,0.4173,Moderate,0.3278,0.446,Moderate,0.4183,0.4842,Moderate,0.3618,0.4603,Moderate
COARSE_C00022,27.18,88.6010000000001,0.5332,0.26,0.3723,Moderate,0.3278,0.3999,Moderate,0.4183,0.4367,Moderate,0.3618,0.4137,Moderate
COARSE_C00023,27.18,88.6020000000001,0.6178,0.26,0.419,Moderate,0.3278,0.4478,Moderate,0.4183,0.4861,Moderate,0.3618,0.4621,Moderate
COARSE_C00024,27.18,88.60300000000011,0.6235,0.26,0.4222,Moderate,0.3278,0.451,Moderate,0.4183,0.4894,Moderate,0.3618,0.4654,Moderate
COARSE_C00025,27.18,88.60400000000011,0.4885,0.26,0.3477,Low,0.3278,0.3746,Moderate,0.4183,0.4106,Moderate,0.3618,0.3881,Moderate
COARSE_C00026,27.18,88.60500000000012,0.6105,0.26,0.415,Moderate,0.3278,0.4436,Moderate,0.4183,0.4818,Moderate,0.3618,0.4579,Moderate
COARSE_C00027,27.18,88.60600000000012,0.6617,0.26,0.4433,Moderate,0.3278,0.4726,Moderate,0.4183,0.5117,Moderate,0.3618,0.4873,Moderate
COARSE_C00028,27.18,88.60700000000013,0.6113,0.26,0.4154,Moderate,0.3278,0.4441,Moderate,0.4183,0.4823,Moderate,0.3618,0.4584,Moderate
COARSE_C00029,27.18,88.60800000000013,0.7056,0.26,0.4675,Moderate,0.3278,0.4974,Moderate,0.4183,0.5373,Moderate,0.3618,0.5124,Moderate
COARSE_C00030,27.18,88.60900000000014,0.6607,0.26,0.4427,Moderate,0.3278,0.472,Moderate,0.4183,0.5111,Moderate,0.3618,0.4867,Moderate
COARSE_C00031,27.18,88.61000000000014,0.6666,0.26,0.446,Moderate,0.3278,0.4754,Moderate,0.4183,0.5146,Moderate,0.3618,0.4901,Moderate
COARSE_C00032,27.18,88.61100000000015,0.6412,0.26,0.4319,Moderate,0.3278,0.461,Moderate,0.4183,0.4997,Moderate,0.3618,0.4755,Moderate
COARSE_C00033,27.18,88.61200000000015,0.7107,0.26,0.4703,Moderate,0.3278,0.5003,Moderate,0.4183,0.5403,Moderate,0.3618,0.5153,Moderate
COARSE_C00034,27.18,88.61300000000016,0.7004,0.26,0.4646,Moderate,0.3278,0.4945,Moderate,0.4183,0.5343,Moderate,0.3618,0.5094,Moderate
COARSE_C00035,27.18,88.61400000000016,0.7651,0.26,0.5003,Moderate,0.3278,0.5311,Moderate,0.4183,0.572,High,0.3618,0.5464,Moderate
