fine_cell_id,parent_cell_id,parent_latitude,parent_longitude,parent_susceptibility,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,fine_susceptibility,risk_delta,micro_risk_tier
FINE_C14203_001,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71155,976.0,15.02,87.4,-1.6912,60,277,368,354,112,0.957,0.2192,Extreme
FINE_C14203_002,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71165,976.0,15.02,87.4,-1.6912,10,277,368,354,112,0.5138,-0.224,High
FINE_C14203_003,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71175,976.0,15.02,87.4,-1.6912,10,277,368,354,112,0.5138,-0.224,High
FINE_C14203_004,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71185,991.0,41.69,90.52,-2.5662,10,277,368,354,112,0.7446,0.0068,Very High
FINE_C14203_005,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71195,991.0,41.69,90.52,-2.5662,10,249,378,373,112,0.7361,-0.0017,Very High
FINE_C14203_006,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71205,991.0,41.69,90.52,-2.5662,10,249,378,373,112,0.7361,-0.0017,Very High
FINE_C14203_007,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71215,1039.0,47.48,90.85,10.6945,10,249,378,373,110,0.8518,0.114,Extreme
FINE_C14203_008,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71225,1039.0,47.48,90.85,10.6945,10,249,378,373,110,0.8518,0.114,Extreme
FINE_C14203_009,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71235,1039.0,47.48,90.85,10.6945,10,249,378,373,110,0.8518,0.114,Extreme
FINE_C14203_010,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24955,88.71245,1050.0,24.01,91.04,2.6936,10,249,378,373,110,0.6452,-0.0926,High
FINE_C14203_011,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71155,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_012,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71165,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_013,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71175,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_014,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71185,983.0,37.77,110.24,-2.9594,10,277,368,354,112,0.7175,-0.0203,Very High
FINE_C14203_015,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71195,983.0,37.77,110.24,-2.9594,10,249,378,373,112,0.7085,-0.0293,Very High
FINE_C14203_016,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71205,983.0,37.77,110.24,-2.9594,10,249,378,373,110,0.7615,0.0237,Very High
FINE_C14203_017,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71215,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_018,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71225,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_019,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71235,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_020,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24965,88.71245,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0108,Very High
FINE_C14203_021,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71155,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_022,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71165,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_023,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71175,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_024,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71185,983.0,37.77,110.24,-2.9594,10,277,368,354,112,0.7175,-0.0203,Very High
FINE_C14203_025,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71195,983.0,37.77,110.24,-2.9594,10,249,378,373,112,0.7085,-0.0293,Very High
FINE_C14203_026,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71205,983.0,37.77,110.24,-2.9594,10,249,378,373,111,0.7359,-0.0019,Very High
FINE_C14203_027,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71215,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_028,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71225,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_029,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71235,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_030,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24975,88.71245,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0108,Very High
FINE_C14203_031,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71155,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_032,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71165,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_033,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71175,976.0,11.55,110.96,-0.2119,10,277,368,354,112,0.4915,-0.2463,Moderate
FINE_C14203_034,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71185,983.0,37.77,110.24,-2.9594,10,277,368,354,112,0.7175,-0.0203,Very High
FINE_C14203_035,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71195,983.0,37.77,110.24,-2.9594,10,249,378,373,112,0.7085,-0.0293,Very High
FINE_C14203_036,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71205,983.0,37.77,110.24,-2.9594,10,249,378,373,111,0.7359,-0.0019,Very High
FINE_C14203_037,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71215,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_038,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71225,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_039,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71235,1010.0,49.19,110.96,-3.1416,10,249,378,373,110,0.826,0.0882,Extreme
FINE_C14203_040,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24985,88.71245,1044.0,34.81,110.87,4.2808,10,249,378,373,110,0.7486,0.0108,Very High
FINE_C14203_041,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71155,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_042,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71165,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_043,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71175,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_044,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71185,978.0,40.37,66.05,-6.205,10,277,368,354,112,0.7196,-0.0182,Very High
FINE_C14203_045,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71195,978.0,40.37,66.05,-6.205,10,249,378,373,112,0.7106,-0.0272,Very High
FINE_C14203_046,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71205,978.0,40.37,66.05,-6.205,10,249,378,373,111,0.7378,0.0,Very High
FINE_C14203_047,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71215,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_048,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71225,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_049,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71235,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
