cell_id,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,susceptibility_prob,risk_tier,needs_refinement,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_trigger_index,susceptibility_score,risk_score,risk_category,risk_mode,rainfall_status
COARSE_C00001,27.18,88.58,767.0,30.17009925842285,164.59762573242188,-1.0028282403945925,10,286,354,360,117,0.6314,High,True,15.69,20.23,42.95,0.2261,0.6314,0.4121,Moderate,dynamic_composite,available
COARSE_C00002,27.18,88.581,804.0,35.3477897644043,141.14027404785156,0.2639487087726593,10,288,357,355,117,0.6616,High,True,15.69,20.23,42.95,0.2261,0.6616,0.4285,Moderate,dynamic_composite,available
COARSE_C00003,27.18,88.58200000000001,828.0,27.65007209777832,152.09169006347656,-1.1612228155136108,10,288,357,355,117,0.5712,High,False,15.69,20.23,42.95,0.2261,0.5712,0.3792,Moderate,dynamic_composite,available
COARSE_C00004,27.18,88.58300000000001,878.0,29.56130027770996,124.44758605957033,1.1613490581512451,10,288,357,355,117,0.5743,High,False,15.69,20.23,42.95,0.2261,0.5743,0.3809,Moderate,dynamic_composite,available
COARSE_C00005,27.18,88.58400000000002,893.0,23.291223526000977,187.8819122314453,0.607031524181366,10,288,357,355,117,0.5108,High,False,15.69,20.23,42.95,0.2261,0.5108,0.3463,Low,dynamic_composite,available
COARSE_C00006,27.18,88.58500000000002,864.0,32.271324157714844,209.7483062744141,-0.5541912913322449,10,288,357,355,117,0.6098,High,True,15.69,20.23,42.95,0.2261,0.6098,0.4003,Moderate,dynamic_composite,available
COARSE_C00007,27.18,88.58600000000003,864.0,31.15765190124512,162.51678466796875,-0.1583944708108902,10,304,353,343,117,0.599,High,True,15.69,20.23,42.95,0.2261,0.599,0.3944,Moderate,dynamic_composite,available
COARSE_C00008,27.18,88.58700000000003,885.0,29.072021484375,166.29798889160156,1.662700057029724,10,304,353,343,117,0.5796,High,False,15.69,20.23,42.95,0.2261,0.5796,0.3838,Moderate,dynamic_composite,available
COARSE_C00009,27.18,88.58800000000004,861.0,27.72160530090332,238.81570434570312,0.2902425527572632,10,303,354,343,117,0.5798,High,False,15.69,20.23,42.95,0.2261,0.5798,0.3839,Moderate,dynamic_composite,available
COARSE_C00010,27.18,88.58900000000004,840.0,14.4570951461792,172.91781616210938,-0.8445600867271423,30,303,354,343,117,0.8806,Very High,True,15.69,20.23,42.95,0.2261,0.8806,0.5479,Moderate,dynamic_composite,available
