sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm
26052,SKM/SS/78A08/2015/256,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.08275,88.434778,Debris,Slide,,285,368,347,122
26053,SKM/SS/78A08/2015/254,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.084222,88.446083,Debris,Slide,,258,370,372,117
26054,SKM/SS/78A08/2015/255,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.084722,88.443833,Debris,Slide,,274,364,362,115
26055,SKM/SS/78A08/2015/257,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.087667,88.416528,Debris,Slide,,278,378,343,118
26056,SKM/SS/78A08/2015/258,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.090083,88.413139,Debris,Slide,,283,377,340,117
26057,SKM/SS/78A08/2015/259,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.090944,88.406833,Debris,Slide,,276,380,344,116
26058,SKM/SS/78A08/2015/253,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.093278,88.457444,Debris,Slide,,251,370,379,119
26059,SKM/SS/78A08/2015/248,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.096444,88.433375,Debris,Slide,,265,362,372,114
26060,SKM/SS/78A08/2015/260,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.097833,88.3785,Debris,Slide,,285,361,354,123
26061,SKM/SS/78A08/2015/245,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.098417,88.400167,Debris,Slide,,277,353,369,118
26062,SKM/SS/78A08/2015/261,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.101083,88.3615,Debris,Slide,,276,366,358,123
26063,SKM/SS/78A08/2015/244,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.101083,88.400417,Debris,Slide,,278,359,363,116
26064,SKM/SS/78A08/2015/243,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.101111,88.403333,Debris,Slide,,276,359,365,116
26065,SKM/SS/78A08/2015/247,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.101194,88.394611,Debris,Slide,,287,354,359,118
26066,SKM/SS/78A08/2015/252,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.102,88.458667,Debris,Slide,,263,347,389,111
26067,SKM/SS/78A08/2015/242,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.1025,88.400778,Debris,Slide,,278,359,363,116
26068,SKM/SS/78A08/2015/246,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.102639,88.394639,Debris,Slide,,287,354,359,118
26069,SKM/SS/78A08/2015/240,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.102944,88.404667,Debris,Subsidence,,290,367,343,117
26070,SKM/SS/78A08/2015/241,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.103111,88.402722,Debris,Slide,,286,367,348,116
26071,SKM/SS/78A08/2015/250,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.105972,88.444556,Debris,Subsidence,,266,372,361,118
26072,SKM/SS/78A08/2015/251,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.106694,88.449389,Debris,Slide,,261,370,369,117
26073,SKM/SS/78A08/2015/249,Sikkim,South Sikkim,,Pachekhani-Melli Road,27.106944,88.43375,Rock,Fall,,240,382,377,116
26074,SKM/SS/78A08/2015/262,Sikkim,South Sikkim,,Melli-Sumbuk Road,27.107417,88.363139,Debris,Slide,,267,368,366,118
26075,SKM/WS/78A08/2015/315,Sikkim,West Sikkim,,Melli-Jorethang Road,27.110583,88.340472,Debris,Slide,,257,352,392,118
26076,SKM/NS/78A04/2017/130,Sikkim,West Sikkim,,SH,27.1205,88.152722,Debris,Slide,,242,352,406,118
26077,SKM/NS/78A04/2017/131,Sikkim,West Sikkim,,SH,27.121444,88.153417,Debris,Slide,,242,352,406,118
26078,SKM/NS/78A04/2017/128,Sikkim,West Sikkim,,SH,27.1215,88.142222,Debris,Slide,,249,357,395,118
26079,SKM/NS/78A04/2017/104,Sikkim,West Sikkim,,SH,27.121611,88.237,Debris,Slide,,279,345,377,123
26080,SKM/NS/78A04/2017/129,Sikkim,West Sikkim,,SH,27.121611,88.145528,Debris,Slide,,247,353,400,118
26081,SKM/NS/78A04/2017/127,Sikkim,West Sikkim,Lower Siktam,SH,27.121917,88.139472,Rock,Slide,,248,360,392,120
26082,SKM/NS/78A04/2017/126,Sikkim,West Sikkim,,SH,27.122,88.139889,Debris,Slide,,248,360,392,120
26083,SKM/NS/78A04/2017/103,Sikkim,West Sikkim,,SH,27.122472,88.227611,Debris,Slide,,274,344,382,123
26084,SKM/SS/78A08/2015/320,Sikkim,South Sikkim,,Namchi-Kitam Road,27.122611,88.343389,Debris,Slide,,275,322,403,116
26085,SKM/NS/78A04/2017/102,Sikkim,West Sikkim,,SH,27.123833,88.225333,Debris,Slide,,272,345,383,124
26086,SKM/WS/78A08/2015/316,Sikkim,West Sikkim,,Melli-Jorethang Road,27.123889,88.319778,Debris,Slide,,273,355,372,115
26087,SKM/NS/78A04/2017/125,Sikkim,West Sikkim,Siktam,SH,27.124556,88.139778,Debris,Slide,,248,356,395,117
26088,SKM/SS/78A08/2015/314,Sikkim,South Sikkim,,Melli-Rabikhola Road,27.124778,88.445083,Debris,Slide,,246,371,383,111
26089,SKM/SS/78A08/2015/225,Sikkim,South Sikkim,,Namchi-Palum Road,27.125528,88.384556,Rock,Fall,,273,388,339,115
26090,SKM/NS/78A04/2017/123,Sikkim,West Sikkim,,SH,27.125861,88.14275,Debris,Slide,,251,346,403,116
26091,SKM/SS/78A08/2015/226,Sikkim,South Sikkim,,Namchi-Palum Road,27.126306,88.378667,Debris,Slide,,262,358,380,118
26092,SKM/SS/78A08/2015/322,Sikkim,South Sikkim,,Namchi-Kitam Road,27.126444,88.340444,Debris,Slide,,277,321,403,115
26093,SKM/WS/78A08/2015/317,Sikkim,West Sikkim,,Melli-Jorethang Road,27.126472,88.31675,Debris,Slide,,278,346,376,121
